Title,Authors,Venue,Year,Abstract,Citations,URL
Towards an AI co-scientist,"J Gottweis, WH Weng, A Daryin, T Tu, A Palepu… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"Scientific discovery relies on scientists generating novel hypotheses that undergo rigorous experimental validation. To augment this process, we introduce an AI co-scientist, a multi …",45,https://arxiv.org/abs/2502.18864
R1-vl: Learning to reason with multimodal large language models via step-wise group relative policy optimization,"J Zhang, J Huang, H Yao, S Liu, X Zhang, S Lu… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"Recent studies generally enhance MLLMs' reasoning capabilities via supervised fine-tuning on high-quality chain-of-thought reasoning data, which often leads models to merely imitate …",39,https://arxiv.org/abs/2503.12937
R1-onevision: Advancing generalized multimodal reasoning through cross-modal formalization,"Y Yang, X He, H Pan, X Jiang, Y Deng, X Yang… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"Large Language Models have demonstrated remarkable reasoning capability in complex textual tasks. However, multimodal reasoning, which requires integrating visual and textual …",52,https://arxiv.org/abs/2503.10615
Monitoring reasoning models for misbehavior and the risks of promoting obfuscation,"B Baker, J Huizinga, L Gao, Z Dou, MY Guan… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,Mitigating reward hacking--where AI systems misbehave due to flaws or misspecifications in their learning objectives--remains a key challenge in constructing capable and aligned …,27,https://arxiv.org/abs/2503.11926
A survey on large language model-based game agents,"S Hu, T Huang, G Liu, RR Kompella, F Ilhan… - arXiv preprint arXiv …, 2024",arxiv.org,2024,The development of game agents holds a critical role in advancing towards Artificial General Intelligence (AGI). The progress of LLMs and their multimodal counterparts (MLLMs) offers …,59,https://arxiv.org/abs/2404.02039
Lmm-r1: Empowering 3b lmms with strong reasoning abilities through two-stage rule-based rl,"Y Peng, G Zhang, M Zhang, Z You, J Liu, Q Zhu… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"Enhancing reasoning in Large Multimodal Models (LMMs) faces unique challenges from the complex interplay between visual perception and logical reasoning, particularly in compact …",38,https://arxiv.org/abs/2503.07536
Phi-4-mini technical report: Compact yet powerful multimodal language models via mixture-of-loras,"A Abouelenin, A Ashfaq, A Atkinson… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"We introduce Phi-4-Mini and Phi-4-Multimodal, compact yet highly capable language and multimodal models. Phi-4-Mini is a 3.8-billion-parameter language model trained on high …",27,https://arxiv.org/abs/2503.01743
Llm post-training: A deep dive into reasoning large language models,"K Kumar, T Ashraf, O Thawakar, RM Anwer… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,Large Language Models (LLMs) have transformed the natural language processing landscape and brought to life diverse applications. Pretraining on vast web-scale data has …,37,https://arxiv.org/abs/2502.21321
Open-reasoner-zero: An open source approach to scaling up reinforcement learning on the base model,"J Hu, Y Zhang, Q Han, D Jiang, X Zhang… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"We introduce Open-Reasoner-Zero, the first open source implementation of large-scale reasoning-oriented RL training focusing on scalability, simplicity and accessibility. Through …",69,https://arxiv.org/abs/2503.24290
Seg-zero: Reasoning-chain guided segmentation via cognitive reinforcement,"Y Liu, B Peng, Z Zhong, Z Yue, F Lu, B Yu… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"Traditional methods for reasoning segmentation rely on supervised fine-tuning with categorical labels and simple descriptions, limiting its out-of-domain generalization and …",32,https://arxiv.org/abs/2503.06520
